                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.3101,                 1.1772,                 1.3922,                0.90424,                0.83842,                0.93563,                0.57694,                 1.2682,                0.85488,                 1.3742,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2868,                 1.1688,                  1.392,                0.91099,                0.86304,                0.94747,                0.59432,                 1.2063,                 0.8384,                 1.3518,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2944,                 1.1719,                 1.3887,                0.84947,                0.84116,                0.91967,                0.56234,                 1.2355,                0.87975,                 1.3452,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2664,                 1.1349,                 1.3663,                0.89143,                0.87731,                0.94866,                0.59864,                 1.1864,                0.80715,                 1.3312,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.2709,                 1.1246,                 1.3718,                0.83195,                0.89724,                0.94166,                0.55717,                 1.3054,                 0.8587,                 1.4253,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2675,                 1.1277,                 1.3745,                0.87303,                0.88135,                0.94562,                0.59259,                 1.2156,                0.80417,                 1.3646,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.2574,                 1.1029,                 1.3566,                0.90471,                0.89458,                 0.9603,                0.59965,                 1.2017,                0.79112,                 1.3519,             0.00087484,             0.00087484,             0.00087484
                     51,                  1.254,                 1.0988,                 1.3605,                0.89502,                0.89384,                 0.9551,                0.59385,                 1.2081,                0.80079,                 1.3425,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.2391,                 1.0753,                  1.353,                0.87855,                0.90057,                0.95191,                 0.5897,                 1.2422,                0.79892,                 1.3811,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2197,                 1.0635,                 1.3443,                0.89821,                0.89595,                  0.959,                 0.6108,                 1.1924,                0.78572,                 1.3495,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.2184,                 1.0575,                 1.3396,                0.89539,                0.92584,                0.96268,                0.60352,                 1.1877,                0.76049,                 1.3491,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.2375,                 1.0811,                  1.349,                0.89932,                 0.9001,                0.96479,                0.60959,                  1.216,                0.74912,                 1.3606,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2204,                 1.0654,                 1.3417,                0.91292,                0.87472,                0.95336,                0.61295,                 1.1683,                0.78926,                 1.3181,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.1936,                 1.0508,                 1.3301,                 0.8868,                0.89351,                0.95305,                0.61254,                 1.1674,                0.76642,                 1.3283,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.1893,                 1.0245,                 1.3257,                0.91116,                0.90291,                0.96013,                0.60921,                 1.1672,                0.75914,                 1.3268,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.1921,                 1.0215,                 1.3323,                0.89497,                0.94813,                0.96908,                0.62844,                 1.1255,                0.72036,                 1.2967,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.1714,                 1.0139,                 1.3083,                 0.8863,                0.89043,                0.95604,                0.60532,                 1.1979,                0.77595,                 1.3354,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.1746,                 1.0205,                 1.3138,                0.92116,                 0.9125,                0.96632,                0.63373,                 1.1455,                0.72182,                 1.2896,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.1629,                 1.0004,                 1.3122,                0.90107,                 0.9309,                0.96895,                0.62247,                 1.1604,                0.75484,                 1.3158,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1466,                 1.0001,                 1.2999,                0.91669,                0.91627,                0.95538,                0.61664,                 1.1501,                0.75026,                 1.3093,              0.0006603,              0.0006603,              0.0006603
                     64,                  1.169,                0.98535,                 1.3071,                0.89916,                0.91185,                0.96008,                0.62408,                 1.1564,                0.75054,                 1.3159,              0.0006438,              0.0006438,              0.0006438
                     65,                 1.1749,                0.99973,                  1.319,                0.91768,                0.89895,                0.96086,                0.61265,                 1.1878,                0.73875,                 1.3235,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1386,                0.95626,                 1.2803,                0.91089,                0.93407,                0.96755,                0.63174,                 1.1421,                0.70582,                 1.2899,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1142,                0.94818,                 1.2704,                0.91716,                0.91779,                0.96774,                0.65575,                  1.127,                0.71554,                 1.2685,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.1248,                0.93402,                 1.2801,                0.89035,                0.91279,                0.96123,                0.63588,                 1.1272,                0.70165,                 1.2973,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1048,                0.93371,                 1.2777,                0.92207,                0.93574,                 0.9671,                0.64217,                 1.1321,                0.68295,                 1.2954,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.1108,                0.92851,                 1.2825,                0.90398,                0.92022,                0.97221,                0.64341,                 1.1263,                0.69454,                 1.2868,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.0964,                0.91229,                 1.2508,                0.88607,                0.94115,                0.96822,                0.64395,                 1.1384,                0.69657,                 1.3033,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.1176,                0.91494,                 1.2748,                0.92545,                0.93731,                0.97511,                0.65947,                 1.1063,                0.67509,                 1.2708,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0926,                0.92327,                 1.2722,                0.90498,                0.92818,                0.97247,                0.65495,                 1.0974,                0.70525,                 1.2662,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.0846,                0.89675,                 1.2514,                 0.9213,                0.94418,                0.97905,                0.66097,                 1.0981,                0.66828,                 1.2549,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.0543,                0.88216,                 1.2405,                0.92144,                0.95046,                0.97364,                0.65437,                 1.1028,                0.66446,                 1.2799,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.0627,                0.89142,                 1.2433,                 0.9417,                0.93316,                0.98152,                 0.6635,                 1.0913,                  0.654,                 1.2648,             0.00044576,             0.00044576,             0.00044576
